id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type,details,additionals,services,l4,l5,l6
1,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4079076,-34.6012658,Argentina,Capital Federal,Balvanera,3.0,2.0,1.0,48.6,48.6,,USD,,"Jean Jaures 700 - Departamento en Venta en Balvanera, CABA de 48.6 m2 con 2 dormitorios, 1 baño, a .","Descripción básica:<br>- ¡Gran oportunidad, departamento de 3 ambientes en Balvanera con patio interno!<br>- Cerca de múltiples medios de trasporte (colectivos y subtes).<br><br>Medidas:<br>- Superficie cubierta: 45.76 m2.<br>- Superficie semi-cubierta: 2.84 m2.<br>- Superficie total: 48.60 m2.<br><br>Descripción de la unidad:<br>- Departamento de tres ambientes con cocina y lavadero independiente.<br>- Posee baño completo.<br>- Regular estado de conservación.<br><br>Gastos:<br>- Agua: (se incluyen en expensas).<br>- Expensas: $8.500.<br><br>Calidad ambiental:<br>- A pesar de la ubicación que tiene la unidad no se considera ruidoso gracias a su disposición interna.<br>- Buena luminosidad.<br><br>Calefacción y refrigeración de ambientes:<br>- Calentamiento de agua por medio de calefón.<br><br>Descripción del edificio:<br>- Buen estado de conservación.<br>- Cuenta con encargado con vivienda.<br>- Tiene 8 pisos y 2 unidades en cada uno.<br>- Terraza común.<br>- Apto mascotas.<br><br>Entrega:<br>- Rápida entrega.<br>- Actualmente se encuentra deshabitada.<br>- La documentación de la propiedad está en condiciones para la compraventa.<br><br>Otros aspectos a destacar de la propiedad:<br>- Excelente distribución de ambientes.<br>- Conexión para lavarropas privado.<br>- Horno a gas.<br><br>Accesibilidad:<br>- Colectivos: 24, 26, 29, 41, 57, 61, 62, 64, 68, 71, 75, 99, 101, 106, 109, 111, 115, 118, 124, 132, 140, 146, 168, 180, 188, 194.<br>- Subtes (Metro): CARLOS GARDEL (Línea B), CÓRDOBA (Línea H), CORRIENTES (Línea H), PUEYRREDON (Línea B)<br><br>""Accesible para personas con movilidad reducida - Ley N° 5.115 de la C.A.B.A.”<br><br>---------------------------------------------<br><br>Todas las propiedades publicadas en el perfil de ****** se encuentran a cargo de un profesional matriculado. La intermediación y la conclusión de las operaciones serán llevadas exclusivamente por la firma:<br><br>Carina Beccio<br>Lamac Propiedades<br>Matrícula: CUCICBA 5424",Departamento,Venta,"Superficie 48.6m2, Ambientes 3, Baños 1, Dormitorios 2, Sup. Cubierta 45.76m2, Cantidad de pisos 8, Departamentos por piso 2","Aceptan Mascotas, Terraza","Gas, Luz",,,
2,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4872956,-34.5702717,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,2.0,86.0,86.0,,USD,,"Nahuel Huapi Al 4900 - Departamento en Venta en Villa Urquiza, CABA de 86 m2 con 2 dormitorios, 2 baños, a .","Edificio de Nivel Superior en la zona! - Detalles de terminación y materiales de calidad y diseño<br><br>* Exclusivos Semipisos de 3 Ambientes con 2 dormitorios amplios y Cocheras Fijas <br>* Dormitorio principal en suite con vestidor<br>* Dos baños completos con mesadas de mármol<br>* Balcones corridos Muy generosos, con espacio para una mesa con sillas. <br>* Cocina: <br> - Gran espacio para cocinar y compartir<br> - Doble Mesada<br> - Mucho espacio de guardado con doble alacena y mesada de Quarzo<br> - Espacio para Lavarropas<br><br><br>AMENITIES:<br>- Salón de Usos Múltiples totalmente equipado<br>- Sistema de Circuito Cerrado c/ Grabación 24hs<br>- Terraza c/ Parrilla<br>- Control de Accesos<br>- Piscina<br>- WiFi en SUM y Terraza; <br>- Espacio para Laundry<br><br><br>Además: <br>Calefacción por loza radiante. Permite controlar la temperatura individualmente en cada ambiente.<br>Ambientes amplios, ventilados y limpios, sin vigas ni columnas<br>Horno de acero inoxidable y Anafe vitrocerámico.<br>Portero Eléctrico con opción de visor (no incluye). Permite estar en contacto con mostrador de vigilancia.<br>Agua Caliente por Sistema central, con termotanques de alta recuperación.<br>No se entregan interiores de placard<br><br><br>Ubicado en el barrio de Villa Urquiza, a metros de la Avenida Triunvirato, Avenida Congreso; Plaza Echeverria. Próximo a arterias principales, transportes públicos, subte linea ""B""; Ferrocarril línea Mitre. Cercano a extensos espacios y servicios comerciales. <br><br>POSESION SEPTIEMBRE 2021<br><br><br>El precio incluye COCHERA FIJA CUBIERTA Y BAULERA.<br><br><br>***Todas las especificaciones, imágenes, planos y medidas en esta presentación son estimativas e ilustrativas. Están sujetas a modificación sin previo aviso. Las superficies definitivas surgirán del plano de subdivisión. (La superficie cubierta incluye muros perimetrales)***",Departamento,Venta,"Superficie 86m2, Ambientes 3, Baños 2, Cocheras 1, Dormitorios 2, Sup. Cubierta 75m2","Pileta, Seguridad, SUM, Laundry, Balcón, Terraza","Gas, Luz",,,
3,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4145496,-34.58500009999999,Argentina,Capital Federal,Palermo,5.0,4.0,2.0,172.0,172.0,,USD,,"Arenales Al 3700 - Departamento en Venta en Palermo, CABA de 172 m2 con 4 dormitorios, 2 baños, a .","Excelente piso con palier privado y entrada de servicio en Arenales entre Araoz y S. Ortiz . <br>1 cuadra del botánico, 4 del Alto Palermo Shopping y a la vuelta del Subte Linea D.<br><br>El piso cuenta con un espacio guardacoches cubierto y Baulera de 2x2 en el subsuelo. <br>Calefacción por losa radiante y termotanque . <br>Luminosidad y espacios amplios en perfectas condiciones. <br>El edificio cuenta con encargado fijo sin vivienda. <br>Cocina empotrada Domec y pisos de Mármol de Carrara traídos de Italia. <br><br>Medidas:<br>Living 6x9,6 <br>Balcón 8x1,5<br>Cocina 2,5x5<br>Comedor diario 2,4x3,7<br>Lavadero 1,5x2 <br>Dependencia de servicio con toilette 2,2x5,6<br>Palier 1,5x1,5<br>Baño completo 1,5x2,1<br>Distribuidor 3x2,2<br>Dormitorio 2,6x5<br>Dormitorio 2,6x5<br>Dormitorio Principal 3x5 con vestidor 1x2,4 y Baño en Suite 2x3,4. <br><br>El acceso al edificio es en pb sin peldaños con pasillo hacia el ascensor",Departamento,Venta,"Superficie 172m2, Ambientes 5, Baños 2, Cocheras 1, Dormitorios 4, Toilette 1, Sup. Cubierta 160m2, Antigüedad40 años, Cantidad de pisos 1","Aceptan Mascotas, Balcón","Gas, Luz",,,
4,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.3997926,-34.6004139,Argentina,Capital Federal,Balvanera,2.0,1.0,1.0,61.05,61.05,,USD,,"Pasteur 800 - Departamento en Venta en Balvanera, CABA de 61.05 m2 con 1 dormitorio, 1 baño, a .","¡Dos ambientes con dependencia en zona Facultad de Medicina! <br><br>Descripción básica:<br>- Dos ambientes contrafrente en PB.<br><br>Superficies:<br>- Cubierta: 61,05 m2.<br>-Total: 61,05 m2.<br><br>Descripción de ambientes:<br>- Living comedor con vista al patio jardín..<br>- Baño completo.<br>- Habitación con placard.<br>-Toilette.<br>-Baño completo.<br>-Dependencia.<br><br>Descripción del edificio: <br>- Edificio de 5 pisos.<br>- 2 unidades por piso.<br>- 1 ascensor.<br><br>Gastos:<br>-Expensas: $9.520.<br>-Aysa: $500.<br><br>Entrega:<br>- Actualmente se encuentra deshabitado.<br>- La documentación de la propiedad está en condiciones para la compraventa. <br><br>Accesibilidad:<br>-Colectivos: 24, 26, 29, 41, 57, 60, 61, 62, 64, 68, 75, 95, 99, 101, 106, 109, 111, 115, 118, 124, 132, 140, 146, 180, 188, 194.<br>-Subtes: CÓRDOBA (Línea H), FACULTAD DE MEDICINA (Línea D), PASTEUR (Línea B)<br><br><br>Descripción del barrio:<br>-La propiedad se encuentra en el barrio Balvanera, que pertenece a la comuna 3 de la ciudad de Buenos Aires. Colinda al barrio de Recoleta. A media cuadra de la Av. Córdoba, a tres cuadras de la Av. Santa Fe, y cuatro cuadras de la Av. Pueyrredon y Av. Corrientes. En sus cercanías se encuentra la Facultad de Medicina. <br><br><br>Accesible para personas con movilidad reducida - Ley 5.115 de la C.A.B.A.<br><br>------<br><br>Todas las propiedades publicadas en el perfil de ****** se encuentran a cargo de un profesional matriculado. La intermediación y la conclusión de las operaciones vinculadas a la presente publicación serán realizadas exclusivamente por la firma:<br><br>LAMAC ****** PREMIUM S.A.U. (C.U.I.T. N° 33-71728445-9)<br><br>Corredora responsable: Carina Soledad Becchio<br><br>Matrícula: CUCICBA 5424",Departamento,Venta,"Superficie 61.05m2, Ambientes 2, Baños 1, Dormitorios 1, Toilette 1, Sup. Cubierta 61.05m2, Apto profesionalSí, Antigüedad42 años, Cantidad de pisos 5, Departamentos por piso 2",,"Gas, Luz",,,
5,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4265317,-34.5780655,Argentina,Capital Federal,Palermo,2.0,1.0,2.0,52.0,52.0,,USD,,"Medrano Al 1200 - Departamento en Venta en Palermo, CABA de 52 m2 con 1 dormitorio, 2 baños, a .","40% de Anticipo, Saldo en 28 Cuotas<br><br>Aire Acondicionado individual, Alarma, Gimnasio, Parrilla, Solarium, SUM, Seguridad, Apto mascotas, Apto profesional<br>Descripción<br>Palermo en tus manos.<br><br>Con el espíritu palermitano y una impronta actual y contemporánea nace ALMA PALERMO. Un lugar con estilo y confort. Ideal para vivir en conexión con uno y con el entorno.<br><br>Se encuentra distribuido en dos bloques de<br>4 plantas, con cocheras, guarda bicicletas y un excelente local comercial en PB. Los amenities están<br>ubicados en el último nivel y en la azotea. Las terminaciones son de excelente calidad, grandes<br>aberturas, y con un diseño moderno que se integra armónicamente a la trama urbana.<br><br>Alma Palermo se encuentra en el vibrante barrio de Palermo, en cercanía con las<br>principales plazas del barrio, lo que le brinda un entorno verde y a su vez está a metros de la Av.<br>Córdoba, ubicándolo dentro de un excelente punto de accesibilidad. A tan solo 7 minutos de las<br>líneas B y D de subte y cercano a numerosas líneas de colectivo.<br><br>Amenities:<br><br>-Terraza<br>-Piscina descubierta con solarium&amp;amp;amp;nbsp;orientación&amp;amp;amp;nbsp;NE<br>-Parrilla<br>-Living<br>-SUM<br>-Gimnasio<br><br>Terminaciones:<br><br>-Piso Vinílico<br>-Carpintería de aluminio DVH<br>-Muebles de Cocina revestidos en Melamina<br>-Mesada de gránito en cocina y mármol en baño<br>-Griferías y artefactos sanitario de primera marca<br>-Anafes eléctricos<br>-Aire acondicionados frio-calor instalados<br>-Agua caliente central<br>-Grupo electrógeno<br><br>OPCION DE INCLUIR COCHERA",Departamento,Venta,"Superficie 52m2, Ambientes 2, Baños 2, Dormitorios 1, Sup. Cubierta 44m2, Cantidad de pisos 4","Pileta, SUM, Gimnasio, Aceptan Mascotas, Terraza",,,,
6,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.5002071,-34.5693986,Argentina,Capital Federal,Villa Urquiza,4.0,3.0,1.0,79.0,79.0,,USD,,"Hermoso Y Muy Funcional Ph En Villa Urquiza - Ceretti Al Al 3400 - PH en Venta en Villa Urquiza, CABA de 79 m2 con 3 dormitorios, 1 baño, a .","PH – 3 DORM – MUY FUNCIONAL - VILLA URQUIZA – CABA<br><br>Se trata de un amplio PH ubicado estratégicamente cerca de todo, a 200 mts de Av. Crisólogo Larralde y el Parque Gral. Paz. Rodeado con de comercios y fácil acceso a transporte publico (líneas 110/176/71/21/28/117 entre otras). <br><br>El PH se desarrolla en una planta de aproximadamente 70 m2 Cubiertos y 9 m2 Semicubiertos, contando con amplio Living, Comedor y Cocina integrada con barra de madera algarrobo , alacenas y bajo mesada completos lo que le aporta gran espacio de guardado; baño completo, 2 Dormitorios con placard y un tercer Dormitorio en entrepiso; patio exterior (pulmón de manzana) de 9 m2 descubiertos y gran baulera. <br><br>Coordina tu visita ahora! <br><br><br>SUPPA PROPIEDADES NORDELTA<br>Osvaldo Fabian Russo Suppa CMCPSI6155",PH,Venta,"Superficie 79m2, Ambientes 4, Baños 1, Dormitorios 3, Sup. Cubierta 70m2","Aire Acondicionado, Patio, Aceptan Mascotas","Gas, Luz",,,
7,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4335472,-34.5816987,Argentina,Capital Federal,Palermo,1.0,,1.0,32.03,32.03,,USD,,"Arevalo Al 1400 - Departamento en Venta en Palermo, CABA de 32.03 m2, 1 baño, a .",El emprendimiento Arévalo Estudios es un proyecto de 10 plantas con 90 unidades tipo estudio. Incluye exclusivos departamentos con patios en el primer piso y departamentos con amplias terrazas en el piso 9 que cuentan con parrillas. Las unidades se entregan con terminaciones de alta calidad que hacen de Arévalo Estudios un producto premium.<br><br>Anticipo 40% y Saldo en 10 Cuotas.,Departamento,Venta,"Superficie 32.03m2, Ambientes 1, Baños 1, Sup. Cubierta 22.58m2, Cantidad de pisos 10",Terraza,,,,
8,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4045515,-34.5885295,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,85.0,85.0,,USD,,"Austria 2047 - Departamento en Venta en Palermo, CABA de 85 m2 con 2 dormitorios, 2 baños, a .","Hermoso DEPARTAMENTO de 3 ambientes con cocina y lavadero independiente y patio<br>propio, en la ZONA de PALERMO, en la calle AUSTRIA 2047, entre JUNCAL Y FRENCH,<br>primer Piso con AMENITIES. UBICACION Propiedad ubicada en Austria 2047, en Caba.<br>- A 300 metros de Av. Santa Fe - A 300 metros de Av. Coronel Diaz - A 400 metros<br>de Av. Las Heras - A 400 metros del Shopping Alto Palermo - A 500 metros del<br>subte D – Estacion Aguero METRAJES - 85,83 m2 totales - 65,97 m2 Cubiertos -<br>9,56 m2 de Patio - 10,36 m2 de Balcon DEPARTAMENTO - Departamento 3 ambientes. -<br>Ambientes amplios de buen metraje con placard - Living comedor amplio - 2 Baños<br>completos - Cocina independiente y amplia - Balcón amplio con protección para<br>niños - Patio interno con lavadero independiente - Inmueble en excelente estado<br>- Ubicado dentro de las zonas más buscadas de Recoleta CARACTERISTICAS - Muebles<br>bajo mesada y alacena - Cocina a gas de 4 hornallas - Losa y grifería de primera<br>marca - Persiana de enrollar en todos los ambientes - Interior de placard<br>incluido - Paredes de ladrillo (no durlock) - Pintado y remodelado a principios<br>de 2020 AMENTIES - SUM - Solárium - Piscina - Sauna Primer Piso Expensas:<br>$16.500 PRECIO:  Todas las fotos o propiedades que figuran en esta<br>publicación se encuentran a cargo del profesional matriculado Brian David Levi,<br>matrícula C.U.C.I.C.B.A. 7924 por lo tanto la intermediación y la conclusión de<br>las operaciones serán llevadas exclusivamente por él. Las reservas se toman<br>exclusivamente en la inmobiliaria con el matriculado C.U.C.I.C.B.A. 7924",Departamento,Venta,"Superficie 85m2, Ambientes 3, Baños 2, Dormitorios 2, Sup. Cubierta 65m2, Antigüedad20 años","Pileta, SUM, Balcón","Gas, Luz",,,
9,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4579655,-34.5516892,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,90.0,90.0,,USD,,"Quesada Al 1800 - Departamento en Venta en Belgrano, CABA de 90 m2 con 3 dormitorios, 2 baños, a .","AMENITIES - PISCINA - PARRILLA - SUM - 3 DORMITORIOS - VENTA BELGRANO NUÑEZ + COCHERA<br><br><br><br><br>**La unidad es mas COCHERA y Baulera (u$s20.000)<br><br><br><br><br>--Unidad<br><br>90mts Totales<br><br>86mts Cubiertos <br><br>4mts Balcón<br><br><br><br><br>Departamento al contrafrente.<br><br>Amplio living comedor con salida a balcon con cerramiento de aluminio doble vidrio acustico.<br><br>Cocina completa con muebles Silestone.<br><br>Lavadero independiente.<br><br>2 baños completos.<br><br>1er Dormitorio o principal en suite, el baño con ventilación natural <br><br>2do Dormitorio con placard empotrado,<br><br>3er Dormitorio actualmente esta abierto, se entrega cerrado como estaba original.<br><br><br>--Detalles:<br><br><br>Pisos de madera.<br><br>Excelente luminosidad y estado de conservación.<br><br>Comodidades: Aire acondicionado y Calefacción Central regulable desde el departamento.<br><br>Porcelanatos y Griferia importada<br><br><br><br><br>--Edificio de 10 años de antigüedad. 7 Pisos, 2 dptos por piso. Cámaras de seguridad.<br><br>Amenities de categoría: SUM, Sauna, Parrilla, Solárium, Piscina y ducha escosesa.<br><br><br><br><br>--Ubicacion<br><br>Inmejorable ubicación de Nuñez. A 3 cuadras del colegio ORT. Zona residencial, a tres cuadras de Av. Del Libertador, a una cuadra de Av. Congreso, rápido acceso a zona norte y centro de capital.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br> <br> <br><br>Consulta por esta propiedad AHORA.<br><br><br>VENDE y COMPRA con LEXINTON, inmobiliaria LIDER en realizar compra / venta simultanea.",Departamento,Venta,"Superficie 90m2, Ambientes 4, Baños 2, Cocheras 1, Dormitorios 3, Sup. Cubierta 86m2, Antigüedad10 años, Cantidad de pisos 1","Pileta, Calefacción, SUM, Aceptan Mascotas, Balcón",Gas,,,
10,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4947955,-34.6229748,Argentina,Capital Federal,Floresta,5.0,3.0,1.0,128.0,128.0,,USD,,"Lobos Al 4300 - PH en Venta en Floresta, CABA de 128 m2 con 3 dormitorios, 1 baño, a .","Ubicado a media cuadra de Av Segurola y a 7 minutos caminando del Metro Bus de Juan B Justo.<br>Manzanas bajas, con grandes arboledas y zona muy tranquila y residencial<br><br>El PH lo componen 3 Unidades funcionales con un único ingreso desde la calle, los cuales se conectan por medio de un pasillo común.<br><br>La unidad de referencia, tiene 110 mts cubiertos + Terraza (los metros por escritura son inferiores).<br><br>Distribución. <br>Planta inferior compuesta de 2 dormitorios (el principal con vestidor), baño completo, cocina y Living/comedor. <br>En la planta superior se encuentra un cómodo y amplio estar, con una segunda cocina, mesada y alacenas, además de una muy linda parrilla y un toilette. Complementa la planta superior una terraza de alrededor de 15 metros.<br><br>La unidad no tiene expensas, y se resalta especialmente el ingreso de luz en la parte superior, donde actualmente prácticamente se vive el día a día. <br><br><br>Aclaración. El living de la PB requiere una pequeña refacción (pintura y pisos) para poder terminarlo.<br>El resto de la unidad esta impecable.<br><br>Las medidas son aproximadas y a titulo informativo.",PH,Venta,"Superficie 128m2, Ambientes 5, Baños 1, Dormitorios 3, Sup. Cubierta 110m2","Aceptan Mascotas, Terraza","Gas, Luz",,,
